country,fertility,female_percentage,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,70-74_female,75-79_female,80-84_female,85-89_female,90-94_female,95-99_female,0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,70-74_male,75-79_male,80-84_male,85-89_male,90-94_male,95-99_male
Afghanistan,"[4.471246363762711, 6.441472523849917]","[0.48670083047684465, 0.5045486516668509]","[0.613338727436522, 1.2499733338412602]","[0.6589175156498007, 1.304214446062371]","[0.658545071233178, 1.3058453148684648]","[0.6526361432854072, 1.2960416171538727]","[0.647745367108596, 1.2890009970683216]","[0.6377929125411248, 1.284222949384633]","[0.6415720793761099, 1.2790727471323644]","[0.6335694669828985, 1.2716802862073584]","[0.6288155655840794, 1.2742887889407024]","[0.6182196376649519, 1.245501447086951]","[0.6012243017311363, 1.22519934211896]","[0.569073501820991, 1.1769250176168147]","[0.5237077746290143, 1.1085643130563114]","[0.46797872476116376, 1.0150806291061119]","[0.3886710502503469, 0.8752213339056715]","[0.30206579954093343, 0.6964715522097609]","[0.2152732060566162, 0.5023875345564212]","[0.14054054054054055, 0.3290378006872852]","[0.05070422535211268, 0.3175745118191161]","[0.0, 0.863013698630137]","[0.616349298876259, 1.2524645635968248]","[0.6606341863233461, 1.3059377399426388]","[0.6562024725564306, 1.305572085241434]","[0.6378136558126043, 1.2843580154064707]","[0.6273336068696697, 1.2690327529993395]","[0.6230772793130139, 1.267368305199004]","[0.6195693421423915, 1.2655030573310158]","[0.6139723387045886, 1.2561960692857295]","[0.6059288590875669, 1.2508799255603205]","[0.5907087571292298, 1.2215761047745588]","[0.5725884228551184, 1.189230856671924]","[0.5384763605300174, 1.1327844608364745]","[0.4925821972734563, 1.057465329891337]","[0.4383772351470871, 0.9576633457940582]","[0.3586811907533677, 0.8170713178765687]","[0.2762828411304106, 0.640880273104121]","[0.19070904645476772, 0.451685393258427]","[0.11386019697333653, 0.30699001426533523]","[0.036223929747530186, 0.5569620253164557]","[0.0, 2.1818181818181817]"
AFRICA,"[4.066043340251134, 5.446737565760893]","[0.49333345892223235, 0.4962678971266229]","[0.8738945335315381, 0.976173687462173]","[0.9562851923721543, 0.9888116302008271]","[0.9670917670906395, 0.9961746121792933]","[0.9634050338193032, 0.9915216119749094]","[0.9584773878440355, 0.9853101315924139]","[0.9516201885722685, 0.9763466325789345]","[0.9439996809470359, 0.9741618096287624]","[0.9365487381592841, 0.9708391693806427]","[0.9307625514324289, 0.9668574845287697]","[0.920254467268033, 0.9594395432555225]","[0.902146816395819, 0.9473664011076564]","[0.8698050307513757, 0.9271255501964933]","[0.811769486180137, 0.8877013315888598]","[0.7284126245041216, 0.8266088696232078]","[0.6157189121368692, 0.7394732268566864]","[0.4851860637509266, 0.6245787349677706]","[0.34672724834015156, 0.4887736701712948]","[0.22787136627116616, 0.35739610287495177]","[0.13181714805549238, 0.247372420999905]","[0.07191679049034175, 0.2042998547039593]","[0.8687628411182511, 0.9744627378717311]","[0.9614370660041743, 0.9887257051572277]","[0.9629890297921692, 0.9875313458696872]","[0.95302049837547, 0.9784126047002814]","[0.9460942394161695, 0.9733125630450881]","[0.9448261528706905, 0.9722893449709209]","[0.9401477767021748, 0.9702860164391197]","[0.9316334976947861, 0.9656800172432848]","[0.919528311805147, 0.9579675356916566]","[0.9024787809026132, 0.9450005153425346]","[0.8801161821395213, 0.9267546503993824]","[0.8437499888084089, 0.9008313522317586]","[0.7864852916711061, 0.8547918244214672]","[0.7030722681622904, 0.7862177798149576]","[0.588357131217864, 0.6909270595306652]","[0.45827962406886064, 0.5668255144606389]","[0.31907944073191463, 0.42342800196473135]","[0.21236279144299336, 0.2961638849489317]","[0.12644959857270294, 0.2171735130873054]","[0.0811930405965203, 0.1787223465075814]"
Albania,"[1.3822856584221332, 5.379988952689249]","[0.4750207161236862, 0.48829340830689394]","[0.8828990647689207, 0.9911031351461039]","[0.9600129673368663, 1.042645712541959]","[0.897944553548838, 1.0322377837526922]","[0.7825420442761171, 1.027049122058719]","[0.7854179208903497, 1.0094543108835448]","[0.8576635438321769, 0.9940366321169956]","[0.8883910984775337, 1.0037093446005698]","[0.895465702854713, 1.0065978342986652]","[0.9288326856335335, 1.0209392251757095]","[0.9191805493021161, 0.997598645389707]","[0.9239070536370316, 1.0191496872119703]","[0.9259637231871222, 0.9965882846945202]","[0.8827685061943278, 0.960969352695955]","[0.815414247879939, 0.9424766808091402]","[0.7930483723760268, 0.9160588258486773]","[0.6705423067130611, 0.7362917332116511]","[0.5548407343480307, 0.8698924731182796]","[0.3720682302771855, 0.5213414634146342]","[0.21452328159645231, 0.3189102564102564]","[0.11298076923076923, 0.2]","[0.882526723231909, 1.0150575007581235]","[0.9175549331117482, 1.0499280974846734]","[0.8611514853031268, 1.0456969465718204]","[0.7980459770114943, 1.0131555256808824]","[0.8015766495425866, 1.0204973531946324]","[0.8310446957458266, 0.9934308466646188]","[0.8613120633154022, 0.9875661106590724]","[0.8917972006882972, 1.0185251706265717]","[0.9184442809856564, 1.0062360148197058]","[0.9186277694756676, 1.0168674965666946]","[0.9063729677500665, 1.0124983647469634]","[0.9043717339451212, 0.969299379524302]","[0.8428597133089426, 0.938212311208574]","[0.7739731406581324, 0.9053416417534128]","[0.7171931312274751, 0.8878547788586902]","[0.5929264909847434, 0.7096830416054578]","[0.49937775766489423, 0.7045519610649871]","[0.3485515643105446, 0.4528891202498699]","[0.18298261665141813, 0.2826086956521739]","[0.07920792079207921, 0.19117647058823528]"
Algeria,"[2.1154959505528512, 6.244141962594361]","[0.48474234118677834, 0.4915962754583643]","[0.847889416908957, 1.0196571834126633]","[0.8411978744192906, 1.0358297853168434]","[0.8638367763849771, 1.0074696567404886]","[0.8889925337399106, 1.0189123850744042]","[0.9038972417218041, 1.0169875384466034]","[0.9058991909430931, 1.0140944661902747]","[0.8828819878680209, 1.0072095254046318]","[0.8848189646072414, 0.9977156234365708]","[0.8279304100746897, 1.0024499258279336]","[0.8574215511271082, 1.0198067319540827]","[0.7929342193501189, 1.0461949337721546]","[0.8238667992669456, 1.0262550725000157]","[0.7041122023599237, 1.0022013304826538]","[0.6964771953710007, 1.0155619671788711]","[0.5792719139741468, 0.9523035505663636]","[0.4192790417788985, 0.7755747708797767]","[0.2590574435339628, 0.5479893195242334]","[0.11738148984198646, 0.3690737603781082]","[0.043560606060606064, 0.21467526028755576]","[0.0, 0.12380952380952381]","[0.8745273867028543, 1.0527363895090212]","[0.9045801357847443, 1.0695674108357354]","[0.8749234667845845, 1.024929180028493]","[0.8563341723129314, 1.029283987376425]","[0.8687234441123628, 1.0095915494988503]","[0.872717579984821, 1.009639604927031]","[0.8795909412411914, 1.0049291458294605]","[0.8833149154880482, 0.9969503953103436]","[0.8811912805257232, 0.9843830322023507]","[0.8793244047047988, 0.9790950540463986]","[0.8618335306285947, 1.0206368046086016]","[0.8168322105592981, 1.0263392447537782]","[0.7480309082085931, 1.0316508258743196]","[0.6667327458890464, 0.9710427459011904]","[0.5531526000753443, 0.9229924181029049]","[0.4099867710038342, 0.831395102972893]","[0.2653156907689102, 0.52906801497399]","[0.12945264986967853, 0.3573446327683616]","[0.05054945054945055, 0.2220950200343446]","[0.0, 0.1267605633802817]"
American Samoa,"[2.4076509264793784, 5.939896373056995]","[0.47651195499296767, 0.4910444289369621]","[0.8127506014434643, 1.0210063507572056]","[0.775028549676437, 1.026046511627907]","[0.7399328859060402, 1.1124352331606218]","[0.7553398058252427, 1.110792741165234]","[0.782051282051282, 1.052682455292412]","[0.7603626943005182, 1.0465489566613162]","[0.8057921635434412, 1.0482315112540193]","[0.7724425887265136, 1.0345285524568393]","[0.8055555555555556, 1.0392953929539295]","[0.7640845070422535, 1.012403100775194]","[0.78125, 0.9592198581560284]","[0.6421568627450981, 1.0]","[0.7338129496402878, 0.9366197183098591]","[0.6213592233009708, 0.9444444444444444]","[0.525, 0.8703703703703703]","[0.545, 0.6785714285714286]","[0.4117647058823529, 0.6923076923076923]","[0.25, 0.4444444444444444]","[0.0, 0.25]","[0.0, 0.0]","[0.8226230740323187, 1.0310861423220974]","[0.7620938628158844, 1.036993769470405]","[0.7373584905660377, 1.0321412403802626]","[0.6590284142988084, 1.0353817504655494]","[0.6095808383233533, 1.118259224219489]","[0.7644736842105263, 1.1444652908067543]","[0.7916666666666666, 1.1223776223776223]","[0.767097966728281, 1.1016393442622952]","[0.8283582089552238, 1.0277777777777777]","[0.8275862068965517, 1.0050761421319796]","[0.7751004016064257, 0.9704797047970479]","[0.6373056994818653, 0.9308300395256917]","[0.7441497659906396, 0.8878504672897196]","[0.6515580736543909, 0.863013698630137]","[0.5536332179930796, 0.7926829268292683]","[0.41007194244604317, 0.6746987951807228]","[0.2876712328767123, 0.7222222222222222]","[0.14285714285714285, 0.6]","[0.0, 0.3333333333333333]","[0.0, 0.0]"
Andorra,"[1.0420685409398727, 2.7923885259869357]","[0.4720416124837451, 0.5]","[0.9317269076305221, 1.55]","[0.9197886647454371, 1.5329052969502408]","[0.907859078590786, 1.7766497461928934]","[0.9065040650406504, 1.7863436123348018]","[0.8623481781376519, 1.864864864864865]","[0.9717741935483871, 1.7172774869109948]","[0.9009216589861752, 1.455813953488372]","[0.8722104144527099, 1.5961538461538463]","[0.8681868743047831, 1.393574297188755]","[0.8256005264889766, 1.2268041237113403]","[0.7670598146588037, 1.180672268907563]","[0.745409429280397, 1.1377551020408163]","[0.7124620060790273, 1.1143497757847534]","[0.7354149548069022, 1.0670194003527338]","[0.7012609117361784, 0.9980276134122288]","[0.5277777777777778, 0.9932773109243698]","[0.4166666666666667, 0.8368794326241135]","[0.26666666666666666, 1.0363636363636364]","[0.0, 0.8095238095238095]","[0.0, 0.47540983606557374]","[0.9263565891472868, 1.6906779661016949]","[0.9251670378619153, 1.6532374100719425]","[0.9191631003328579, 1.7546897546897546]","[0.9672131147540983, 1.8074204946996466]","[0.9043824701195219, 1.9659090909090908]","[0.9161437535653166, 1.868020304568528]","[0.8559941520467836, 1.6111111111111112]","[0.8351129873354854, 1.808641975308642]","[0.8088125466766244, 1.461139896373057]","[0.7619988706945229, 1.3523316062176165]","[0.7096443228454172, 1.2440677966101694]","[0.68, 1.1505791505791505]","[0.6514913657770801, 1.1323185011709602]","[0.6440542697525937, 1.0333333333333334]","[0.602224123182207, 0.9239543726235742]","[0.4666666666666667, 0.8466898954703833]","[0.35, 0.7839506172839507]","[0.125, 0.7446808510638298]","[0.0, 0.5454545454545454]","[0.0, 0.22580645161290322]"
Angola,"[4.098781131668436, 5.824763353129577]","[0.4927106170839676, 0.5011528764069167]","[0.8009119533832425, 0.9830205459251474]","[0.8336208578109128, 0.9951586747959378]","[0.8696509651510146, 1.0023413516642907]","[0.9448314142505978, 1.029766515167015]","[0.9660311027985592, 1.0467208394650969]","[0.9011118340081139, 1.0407203948547776]","[0.8185765330574787, 1.0183392315470172]","[0.7508083807142599, 0.9979692365197019]","[0.7110374155056964, 0.9851491890787617]","[0.715151884464215, 0.9708912083044668]","[0.7382377313322899, 0.9531921699255211]","[0.7402739726027397, 0.9274235976531543]","[0.6891597227630247, 0.8856674690809672]","[0.6153902618057254, 0.8199279786291147]","[0.5297671938866181, 0.724226565978143]","[0.44305852199914564, 0.6035904770816346]","[0.3397853246524723, 0.46164037095025895]","[0.2281847876808213, 0.34636199639206255]","[0.11213235294117647, 0.2905525846702317]","[0.045454545454545456, 0.45901639344262296]","[0.8533320402338663, 0.9789883816963826]","[0.8962510484837858, 0.9934999630858766]","[0.8824990510893495, 0.9993155850536113]","[0.909690170451949, 1.013367602204566]","[0.9185967998436347, 1.01958524999925]","[0.8870026548830248, 1.0157543977317764]","[0.8382930399232827, 1.0044765231732569]","[0.7792170953101362, 0.9899699453705211]","[0.724419910475618, 0.9732736122034719]","[0.7153571681272807, 0.9530956624223729]","[0.7737959429867695, 0.929651504100475]","[0.8290212820595128, 0.8966959370571842]","[0.7900716226228699, 0.8481857856014066]","[0.6906681039762844, 0.7783586981416691]","[0.5894332511958255, 0.6796303380995649]","[0.4724954068950611, 0.5585375494071146]","[0.34670645446507514, 0.5151515151515151]","[0.2420353982300885, 0.4735987002437043]","[0.11879432624113476, 0.3434959349593496]","[0.0, 0.4626865671641791]"
Anguilla,"[1.2416472416472417, 6.820428336079077]","[0.4858585858585859, 0.5372750642673522]","[0.761437908496732, 1.1337579617834395]","[0.7990867579908676, 1.0613026819923372]","[0.7730627306273062, 1.0398406374501992]","[0.7379032258064516, 1.088235294117647]","[0.7095238095238096, 1.396355353075171]","[0.6009389671361502, 1.362521891418564]","[0.7314285714285714, 1.285444234404537]","[0.9078947368421053, 1.125]","[0.8767123287671232, 1.2123287671232876]","[0.9, 1.2169811320754718]","[0.9423076923076923, 1.17]","[0.9224806201550387, 1.2]","[0.8803418803418803, 1.7222222222222223]","[0.8163265306122449, 1.673913043478261]","[0.7058823529411765, 1.7096774193548387]","[0.5454545454545454, 1.3478260869565217]","[0.38461538461538464, 1.25]","[0.0, 0.6666666666666666]","[0.0, 0.4444444444444444]","[0.0, 0.0]","[0.7106109324758842, 1.1382978723404256]","[0.7974683544303798, 1.0899742930591259]","[0.7184466019417476, 1.050420168067227]","[0.5132075471698113, 1.1206434316353888]","[0.5125628140703518, 1.252821670428894]","[0.43946188340807174, 1.3271375464684014]","[0.5227272727272727, 1.2995951417004048]","[0.636986301369863, 1.2674418604651163]","[0.7397260273972602, 1.3076923076923077]","[0.8910891089108911, 1.2105263157894737]","[0.7032967032967034, 1.188118811881188]","[0.6567164179104478, 1.1818181818181819]","[0.8, 1.35]","[0.7272727272727273, 1.4285714285714286]","[0.5909090909090909, 1.7058823529411764]","[0.45454545454545453, 1.3846153846153846]","[0.16666666666666666, 0.6666666666666666]","[0.0, 0.6111111111111112]","[0.0, 0.2857142857142857]","[0.0, 0.0]"
Antigua and Barbuda,"[1.4617728531855956, 4.993713986380304]","[0.4922816265060241, 0.5008523167518983]","[0.9258731290092659, 1.077846153846154]","[0.9082125603864735, 1.1152201257861636]","[0.8858725761772853, 1.0239282153539382]","[0.8125343595382079, 1.1041298976350158]","[0.7092360319270239, 1.1360282322746231]","[0.7148997134670487, 1.0999063378083047]","[0.8463343108504399, 1.0589013898080741]","[0.9639816633922724, 1.0706482155863073]","[0.9253375694996029, 1.0444282592862346]","[0.8390092879256966, 0.992553983618764]","[0.7675840978593272, 1.006585136406397]","[0.7835218093699515, 0.9752475247524752]","[0.7627118644067796, 0.9476439790575916]","[0.7816377171215881, 0.9190317195325542]","[0.6601123595505618, 0.8673932788374206]","[0.5350553505535055, 0.7849462365591398]","[0.3898305084745763, 0.6730769230769231]","[0.26804123711340205, 0.5339506172839507]","[0.14285714285714285, 0.37662337662337664]","[0.0, 0.25]","[0.909903552105387, 1.0535549399815327]","[0.9036216701586351, 1.1122423640427117]","[0.8862467866323908, 1.0140562248995983]","[0.7561183836084234, 1.0367557715674363]","[0.6070287539936102, 1.0463703229932844]","[0.5505857294994675, 1.0403632694248235]","[0.7426294820717132, 1.1419536191145467]","[0.9258893280632411, 1.2819047619047619]","[0.9568345323741008, 1.3626666666666667]","[0.926734216679657, 1.1843088418430885]","[0.8172043010752689, 1.132132132132132]","[0.7497733454215775, 0.9768089053803339]","[0.5736714975845411, 0.9093381686310064]","[0.6326923076923077, 0.8695163104611924]","[0.6054421768707483, 0.8059508408796895]","[0.4819277108433735, 0.7024952015355086]","[0.3333333333333333, 0.5591054313099042]","[0.2, 0.4025974025974026]","[0.0, 0.2545454545454545]","[0.0, 0.1111111111111111]"
Argentina,"[2.0025076846097654, 3.202124570261637]","[0.4855763415038463, 0.49438988143835794]","[0.9922916873359213, 0.9995064963104917]","[0.9972803291215926, 1.0248379790027775]","[0.9949239933433373, 1.025669608693434]","[0.9907292833046865, 1.0235542765929377]","[0.9888871094193736, 1.017923755566214]","[0.9882889597805671, 1.0095996383669383]","[0.9875975797445286, 1.002220010953494]","[0.9854891269823034, 0.9946401904885576]","[0.9769221372647073, 0.9911975427232792]","[0.9640046750651298, 0.9855663042253084]","[0.9486496444996384, 0.977869973498565]","[0.9266148111349275, 0.9659760520306718]","[0.8910928242845917, 0.9465723817936996]","[0.8190631774056737, 0.9130733422823006]","[0.7050726059654631, 0.8603331624227465]","[0.5705498216654893, 0.7893786773500365]","[0.40953430339955277, 0.6860495457178493]","[0.2587377836673845, 0.5506650581301531]","[0.14038461538461539, 0.39133084839533955]","[0.06808510638297872, 0.2391502434198537]","[0.9881052207461254, 0.9985912182238362]","[0.9964610137386155, 1.0074458098651646]","[0.9931158303228531, 1.010112394989165]","[0.9862481787762948, 1.0084259779938234]","[0.9831161635513117, 1.010850118181921]","[0.98249697931579, 1.0098405982644945]","[0.9807186314347933, 1.00043255305653]","[0.9756697114792213, 0.9901137322924602]","[0.9645612372586896, 0.9839183581284983]","[0.9444163362317476, 0.9729064163321158]","[0.9155778317678342, 0.9571126918028462]","[0.8742447118618731, 0.9331913523534526]","[0.8134631883321153, 0.8977380463493898]","[0.7065216067055713, 0.8426597337672291]","[0.55679369639613, 0.7595218046879589]","[0.4020727976524942, 0.6587401520227341]","[0.2516393829315469, 0.5363131879795009]","[0.13937954579189551, 0.4136155981551509]","[0.067618332081142, 0.29587510271158585]","[0.017543859649122806, 0.2117331745086361]"
