country,year,min,max
Afghanistan,2021,40099471,40099471
Afghanistan,2026,38730239,50907545
Afghanistan,2031,37885501,66488828
Afghanistan,2036,36806837,89101119
Afghanistan,2041,34790074,120728491
Afghanistan,2046,32075211,164661292
Afghanistan,2051,29166088,225620361
Afghanistan,2056,26422416,311723568
Afghanistan,2061,24037276,432782570
Afghanistan,2066,21910820,603745089
Afghanistan,2071,19766199,843567762
Afghanistan,2076,17582398,1176919087
Afghanistan,2081,15485364,1640543314
Afghanistan,2086,13595817,2287347056
Afghanistan,2091,11977846,3194202630
Afghanistan,2096,10617121,4467674126
AFRICA,2021,1393676456,1393676456
AFRICA,2026,1512385760,1597393794
AFRICA,2031,1647040546,1823357871
AFRICA,2036,1797494321,2077455299
AFRICA,2041,1962991944,2362636203
AFRICA,2046,2133830132,2676492977
AFRICA,2051,2303358303,3048223593
AFRICA,2056,2472769578,3481346609
AFRICA,2061,2646524333,3985702697
AFRICA,2066,2836686748,4575245217
AFRICA,2071,3047113618,5231503764
AFRICA,2076,3272312096,5975984118
AFRICA,2081,3507083212,6828701920
AFRICA,2086,3747946023,7814103740
AFRICA,2091,4000278075,8963759983
AFRICA,2096,4273499123,10280535727
Albania,2021,2854723,2854723
Albania,2026,2706064,3172157
Albania,2031,2547603,3467690
Albania,2036,2373252,3737362
Albania,2041,2183740,3937909
Albania,2046,1986905,4062288
Albania,2051,1794995,4374323
Albania,2056,1615024,4906559
Albania,2061,1448381,5647164
Albania,2066,1294253,6560382
Albania,2071,1146811,7365741
Albania,2076,1007026,8193190
Albania,2081,879877,9183893
Albania,2086,770228,10487951
Albania,2091,677744,12241624
Albania,2096,599160,14261288
Algeria,2021,44177979,44177979
Algeria,2026,43869862,51536492
Algeria,2031,43065090,58211255
Algeria,2036,42044887,64649609
Algeria,2041,40899474,71523439
Algeria,2046,39694168,79390999
Algeria,2051,38276647,91553759
Algeria,2056,36514340,107320593
Algeria,2061,34504810,126152986
Algeria,2066,32435396,148066577
Algeria,2071,30460610,170589810
Algeria,2076,28691591,197188689
Algeria,2081,27074325,230391121
Algeria,2086,25543654,272293884
Algeria,2091,24001254,323660430
Algeria,2096,22442465,381479541
