country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Afghanistan,10,0.32159675126702003,0.0,0.16041069333683208,0.10236491634195327,0.0435384486900177,0.01455400275506031,0.0042470492397964025,0.17515064818696952,0.11401493137104098,0.04509004438518243,0.015241937673352877,0.0036849861049992392
Afghanistan,20,0.22494008443485802,2.472338478573974e-07,0.1267461851814894,0.12627987234620078,0.14972175397448093,0.012017773221886014,0.00268300818204534,0.14688182528781296,0.10779693729426915,0.06581111976770068,0.026186340345745567,0.007487778723787168
Afghanistan,50,0.14983557505930242,6.230629552231533e-05,0.21264968960910655,0.2776751581594887,0.10221269842063041,0.0026869341066994273,0.0005423615264127307,0.06886236230220323,0.052816606317267145,0.0425800122602912,0.03153102085983177,0.017710835043838257
Afghanistan,100,0.12946599756405677,0.000293477616913468,0.257994666654293,0.29727658590041256,0.07793292812781555,0.0002825157459182127,8.091272198695719e-05,0.02675579312826108,0.019718256779586735,0.012863453363143646,0.009709249173057193,0.005666745481496852
AFRICA,10,0.951454042672826,0.0,0.021009339112807526,0.0011065481528809392,0.00033927828559477416,0.00038477336910782816,0.0002051389063617018,0.023666355328088893,0.0008243622220423256,0.0004220464670577431,0.0003754592306300174,0.00019811181117748478
AFRICA,20,0.938989292845958,2.1053215936662962e-07,0.02288327255188642,0.001929797390399389,0.001468959934465574,0.00037083234619376265,0.00020047911112243833,0.030812886282193523,0.001259405058316082,0.0006923753690635259,0.000662578630719836,0.0005143400909106583
AFRICA,50,0.9135406183995224,1.4472313377092105e-05,0.053036033266632844,0.005641804080286494,0.0015707387870201347,0.00011469850842248133,4.690488169112435e-05,0.02098900526372133,0.0008530206604827093,0.0007696423669716545,0.0009691391197645952,0.0012816712170752153
AFRICA,100,0.8989687203730401,7.227380538679127e-05,0.07466419689374591,0.006960480068703386,0.001350747961820685,1.5574487299082478e-05,5.86945334772704e-06,0.011205259362782277,0.00047269652398691694,0.0004035764666900056,0.0004669646796948866,0.0005878336742887458
Albania,10,0.9909493490522305,0.0,0.0003268553283149027,0.0006823267069221495,0.001511180741467674,0.0005343806431855177,0.0005080186826196709,0.0005513847633024737,0.0013952983711417615,0.002145764426364719,0.0008198993644400164,0.0005501514752467448
Albania,20,0.9836462245493417,5.159501202262522e-07,0.001576514622854998,0.0011673168879421927,0.004888713725222424,0.0008423326577722069,0.00047717884702276836,0.002161849086089615,0.0008551409199721281,0.0019221380855607214,0.0014836631451472491,0.0004850560375264638
Albania,50,0.9729939075505939,9.061036960669799e-05,0.004896395481598111,0.00837236469105173,0.0051454950767349595,0.00033055850707492025,0.000112700387667258,0.0008611174946135604,0.0010468124116913978,0.0008276813653053153,0.0005509296024552589,0.0007174043560321129
Albania,100,0.9519527273258157,0.00030184705225980786,0.008754757254521213,0.014420107349840243,0.004719579316866192,4.396760711178091e-05,8.09494439832941e-06,-5.767511289190146e-05,0.00068995688331992,0.0003778392313330335,0.0001071813263239918,3.147574298932605e-05
