area,sex,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Afghanistan,Female,1950,629.82,469.88,409.13,356.99,307.61,263.07,224.27,190.57,161.41,136.51,113.78,92.15,70.18,48.24,28.02,12.38,3.56,0.59,0.05,0.00,0.00
Afghanistan,Male,1950,618.46,496.33,445.23,400.13,360.77,309.90,266.59,228.53,193.54,170.34,141.78,119.46,91.02,62.47,36.30,16.00,4.59,0.76,0.07,0.00,0.00
Afghanistan,Female,1951,628.36,485.21,415.68,363.55,313.11,267.57,227.78,193.33,163.57,138.28,114.98,93.10,70.71,48.84,28.55,12.80,3.82,0.66,0.05,0.00,0.00
Afghanistan,Male,1951,618.50,506.59,451.12,405.07,364.96,315.25,270.27,231.39,194.80,170.37,141.94,118.87,91.11,62.63,36.66,16.34,4.85,0.83,0.06,0.00,0.00
Afghanistan,Female,1952,627.30,501.79,422.07,370.66,318.76,272.16,231.36,196.14,165.78,140.05,116.25,94.05,71.33,49.40,29.10,13.22,4.06,0.71,0.06,0.00,0.00
Afghanistan,Male,1952,620.92,516.21,456.79,410.75,368.37,321.01,273.96,234.18,196.77,169.90,142.70,117.90,91.38,62.74,37.02,16.68,5.08,0.87,0.07,0.01,0.00
Afghanistan,Female,1953,627.43,517.42,429.05,377.63,324.37,276.68,234.92,198.91,167.96,141.75,117.55,94.94,72.06,49.94,29.68,13.63,4.29,0.77,0.07,0.00,0.00
Afghanistan,Male,1953,627.30,522.53,462.65,416.68,371.17,326.59,277.65,236.85,199.17,169.19,143.68,116.79,91.72,62.86,37.38,17.02,5.28,0.93,0.08,0.01,0.00
Afghanistan,Female,1954,630.92,529.39,438.07,383.91,329.93,281.22,238.56,201.71,170.17,143.45,118.91,95.83,72.87,50.46,30.25,14.01,4.51,0.84,0.08,0.01,0.00
Afghanistan,Male,1954,636.90,526.20,469.59,422.31,374.16,331.46,281.63,239.58,201.64,168.90,144.39,115.98,91.87,63.02,37.70,17.33,5.46,0.99,0.09,0.01,0.00
Afghanistan,Female,1955,641.28,534.50,449.90,389.87,335.53,285.96,242.43,204.70,172.52,145.26,120.40,96.80,73.75,51.00,30.81,14.40,4.72,0.92,0.10,0.00,0.00
Afghanistan,Male,1955,649.85,527.92,478.02,427.68,377.80,335.70,286.03,242.65,204.14,169.36,144.77,115.69,91.80,63.24,38.00,17.63,5.63,1.07,0.10,0.00,0.00
Afghanistan,Female,1956,656.47,534.75,464.13,395.76,341.47,290.94,246.51,207.87,175.01,147.20,121.98,97.89,74.67,51.62,31.38,14.79,4.94,1.00,0.11,0.00,0.00
Afghanistan,Male,1956,665.87,528.46,487.34,432.84,382.15,339.40,290.84,245.95,206.70,170.52,144.87,115.93,91.51,63.57,38.28,17.93,5.81,1.14,0.11,0.00,0.00
Afghanistan,Female,1957,672.23,534.49,479.72,401.64,348.06,296.17,250.76,211.19,177.62,149.24,123.61,99.08,75.61,52.32,31.93,15.21,5.16,1.07,0.12,0.01,0.00
Afghanistan,Male,1957,682.52,530.87,496.22,437.95,387.33,342.48,296.14,249.35,209.30,172.37,144.60,116.72,90.96,64.03,38.55,18.24,5.99,1.21,0.12,0.01,0.00
Afghanistan,Female,1958,688.03,534.86,494.44,408.13,354.55,301.39,254.97,214.52,180.22,151.28,125.21,100.31,76.56,53.11,32.48,15.64,5.38,1.15,0.13,0.01,0.00
Afghanistan,Male,1958,699.25,536.81,501.97,443.30,392.78,345.06,301.31,252.80,211.82,174.63,144.17,117.70,90.38,64.55,38.83,18.55,6.17,1.27,0.13,0.01,0.00
Afghanistan,Female,1959,704.83,538.72,506.12,416.95,360.71,306.86,259.44,218.13,183.01,153.49,126.92,101.69,77.54,53.96,33.02,16.08,5.59,1.22,0.14,0.01,0.00
Afghanistan,Male,1959,716.98,546.26,505.63,450.09,398.33,348.14,306.11,256.76,214.61,177.13,144.25,118.58,90.09,64.95,39.17,18.87,6.35,1.33,0.14,0.01,0.00
Afghanistan,Female,1960,723.44,549.71,511.90,429.04,367.07,312.77,264.46,222.24,186.23,156.03,128.91,103.31,78.57,54.87,33.59,16.52,5.81,1.30,0.16,0.01,0.00
Afghanistan,Male,1960,736.52,559.61,508.11,458.95,404.16,352.30,310.76,261.46,218.00,179.90,145.19,119.36,90.19,65.21,39.54,19.17,6.54,1.39,0.16,0.01,0.00
Afghanistan,Female,1961,743.20,565.49,513.29,443.64,373.56,319.18,269.85,226.68,189.71,158.78,131.06,105.08,79.70,55.81,34.19,16.96,6.03,1.38,0.18,0.01,0.00
